,id,Headline,Body ID
0,0,Trump is not a citizen,0
1,1,Trump is not a citizen,1
2,2,Trump is not a citizen,2
3,3,Trump is not a citizen,3
4,4,Trump is not a citizen,4
5,5,Trump is not a citizen,5
6,6,Trump is not a citizen,6
7,7,Trump is not a citizen,7
8,8,Trump is not a citizen,8
9,9,Trump is not a citizen,9
10,10,Trump is not a citizen,10
11,11,Trump is not a citizen,11
12,12,Trump is not a citizen,12
13,13,Trump is not a citizen,13
14,14,Trump is not a citizen,14
15,15,Trump is not a citizen,15
16,16,Trump is not a citizen,16
17,17,Trump is not a citizen,17
18,18,Trump is not a citizen,18
19,19,Trump is not a citizen,19
20,20,Trump is not a citizen,20
21,21,Trump is not a citizen,21
22,22,Trump is not a citizen,22
23,23,Trump is not a citizen,23
24,24,Trump is not a citizen,24
25,25,Trump is not a citizen,25
26,26,Trump is not a citizen,26
27,27,Trump is not a citizen,27
28,28,Trump is not a citizen,28
29,29,Trump is not a citizen,29
30,30,Trump is not a citizen,30
31,31,Trump is not a citizen,31
32,32,Trump is not a citizen,32
33,33,Trump is not a citizen,33
34,34,Trump is not a citizen,34
35,35,Trump is not a citizen,35
36,36,Trump is not a citizen,36
37,37,Trump is not a citizen,37
38,38,Trump is not a citizen,38
39,39,Trump is not a citizen,39
40,40,Trump is not a citizen,40
41,41,Trump is not a citizen,41
42,42,Trump is not a citizen,42
43,43,Trump is not a citizen,43
44,44,Trump is not a citizen,44
45,45,Trump is not a citizen,45
46,46,Trump is not a citizen,46
47,47,Trump is not a citizen,47
48,48,Trump is not a citizen,48
49,49,Trump is not a citizen,49
