,id,Headline,Body ID
0,0,Obama is not American,0
1,1,Obama is not American,1
2,2,Obama is not American,2
3,3,Obama is not American,3
4,4,Obama is not American,4
5,5,Obama is not American,5
6,6,Obama is not American,6
7,7,Obama is not American,7
8,8,Obama is not American,8
9,9,Obama is not American,9
10,10,Obama is not American,10
11,11,Obama is not American,11
12,12,Obama is not American,12
13,13,Obama is not American,13
14,14,Obama is not American,14
15,15,Obama is not American,15
16,16,Obama is not American,16
17,17,Obama is not American,17
18,18,Obama is not American,18
19,19,Obama is not American,19
20,20,Obama is not American,20
21,21,Obama is not American,21
22,22,Obama is not American,22
23,23,Obama is not American,23
24,24,Obama is not American,24
25,25,Obama is not American,25
26,26,Obama is not American,26
27,27,Obama is not American,27
28,28,Obama is not American,28
29,29,Obama is not American,29
30,30,Obama is not American,30
31,31,Obama is not American,31
32,32,Obama is not American,32
33,33,Obama is not American,33
34,34,Obama is not American,34
35,35,Obama is not American,35
36,36,Obama is not American,36
37,37,Obama is not American,37
38,38,Obama is not American,38
39,39,Obama is not American,39
40,40,Obama is not American,40
41,41,Obama is not American,41
42,42,Obama is not American,42
43,43,Obama is not American,43
44,44,Obama is not American,44
45,45,Obama is not American,45
46,46,Obama is not American,46
47,47,Obama is not American,47
48,48,Obama is not American,48
49,49,Obama is not American,49
50,50,Obama is not American,50
51,51,Obama is not American,51
52,52,Obama is not American,52
53,53,Obama is not American,53
54,54,Obama is not American,54
55,55,Obama is not American,55
56,56,Obama is not American,56
57,57,Obama is not American,57
58,58,Obama is not American,58
59,59,Obama is not American,59
60,60,Obama is not American,60
61,61,Obama is not American,61
62,62,Obama is not American,62
63,63,Obama is not American,63
64,64,Obama is not American,64
65,65,Obama is not American,65
66,66,Obama is not American,66
67,67,Obama is not American,67
68,68,Obama is not American,68
69,69,Obama is not American,69
70,70,Obama is not American,70
71,71,Obama is not American,71
72,72,Obama is not American,72
73,73,Obama is not American,73
74,74,Obama is not American,74
75,75,Obama is not American,75
76,76,Obama is not American,76
77,77,Obama is not American,77
78,78,Obama is not American,78
79,79,Obama is not American,79
80,80,Obama is not American,80
81,81,Obama is not American,81
82,82,Obama is not American,82
83,83,Obama is not American,83
84,84,Obama is not American,84
85,85,Obama is not American,85
86,86,Obama is not American,86
87,87,Obama is not American,87
88,88,Obama is not American,88
89,89,Obama is not American,89
90,90,Obama is not American,90
91,91,Obama is not American,91
92,92,Obama is not American,92
93,93,Obama is not American,93
94,94,Obama is not American,94
95,95,Obama is not American,95
96,96,Obama is not American,96
97,97,Obama is not American,97
98,98,Obama is not American,98
99,99,Obama is not American,99
100,100,Obama is not American,100
101,101,Obama is not American,101
102,102,Obama is not American,102
103,103,Obama is not American,103
104,104,Obama is not American,104
105,105,Obama is not American,105
106,106,Obama is not American,106
107,107,Obama is not American,107
108,108,Obama is not American,108
109,109,Obama is not American,109
110,110,Obama is not American,110
111,111,Obama is not American,111
112,112,Obama is not American,112
113,113,Obama is not American,113
114,114,Obama is not American,114
115,115,Obama is not American,115
116,116,Obama is not American,116
117,117,Obama is not American,117
118,118,Obama is not American,118
119,119,Obama is not American,119
120,120,Obama is not American,120
121,121,Obama is not American,121
122,122,Obama is not American,122
123,123,Obama is not American,123
124,124,Obama is not American,124
125,125,Obama is not American,125
126,126,Obama is not American,126
127,127,Obama is not American,127
128,128,Obama is not American,128
129,129,Obama is not American,129
130,130,Obama is not American,130
131,131,Obama is not American,131
132,132,Obama is not American,132
133,133,Obama is not American,133
134,134,Obama is not American,134
135,135,Obama is not American,135
136,136,Obama is not American,136
137,137,Obama is not American,137
138,138,Obama is not American,138
139,139,Obama is not American,139
140,140,Obama is not American,140
141,141,Obama is not American,141
142,142,Obama is not American,142
143,143,Obama is not American,143
144,144,Obama is not American,144
145,145,Obama is not American,145
146,146,Obama is not American,146
147,147,Obama is not American,147
148,148,Obama is not American,148
149,149,Obama is not American,149
150,150,Obama is not American,150
151,151,Obama is not American,151
152,152,Obama is not American,152
